alpha,beta,gamma,tau,scf_cc,scf_bc,scf_bs,scf_cs
4,0.2,8,0.2,0.720713164,1.335991184,1.65937287,0.873161629
13,0.2,8,0.2,0.858096863,1.300726425,1.75202365,1.004716965
22,0.2,8,0.2,0.858019643,1.300985025,1.751646941,1.005091875
31,0.2,8,0.2,0.857328942,1.300949162,1.748966896,1.005105729
40,0.2,8,0.2,0.857339149,1.301152469,1.751170918,1.005166257
4,0.5,8,0.2,0.964197831,2.578253993,2.271834088,1.085631262
4,0.3,8,0.2,0.886447413,3.389330333,3.953222876,1.201069794
4,0.4,8,0.2,0.946342627,2.661424928,2.744838136,1.236455246
4,0.7,8,0.2,1.025293322,4.163062922,1.896407967,1.250435278
4,0.6,8,0.2,1.03998751,4.125501988,2.22377159,1.522030761
13,0.3,8,0.2,0.959203962,3.543680539,4.723751115,1.576451678
40,0.3,8,0.2,0.957477113,3.543980214,4.720769075,1.577298869
22,0.3,8,0.2,0.958327681,3.544083088,4.721514161,1.577308673
31,0.3,8,0.2,0.957776674,3.54399447,4.721068912,1.577315858
4,0.6,20,0.2,1.417840032,2.432019822,2.360704394,1.599341985
13,0.7,8,0.2,0.745378325,1.95872678,2.76731237,1.665982305
22,0.7,8,0.2,0.739859742,1.944884148,2.773681212,1.671151984
13,0.5,8,0.2,0.905791623,2.242210527,3.254614014,1.671298251
31,0.7,8,0.2,0.738106128,1.941917133,2.774294283,1.672108485
40,0.7,8,0.2,0.737537841,1.941921575,2.773756157,1.672119865
22,0.5,8,0.2,0.903188239,2.237752456,3.257674219,1.673235695
40,0.5,8,0.2,0.901831899,2.237796381,3.256466202,1.673553905
31,0.5,8,0.2,0.902311908,2.237748348,3.257000586,1.673566975
4,0.7,20,0.2,1.345816757,2.061054368,2.39060576,1.697592663
13,0.6,8,0.2,0.819915142,2.056300752,3.015096148,1.736902339
22,0.6,8,0.2,0.815369619,2.044448896,3.022098155,1.741063005
31,0.6,8,0.2,0.814382615,2.044345439,3.021397565,1.741142923
40,0.6,8,0.2,0.813855985,2.04431716,3.020781657,1.741144511
13,0.4,8,0.2,0.960170463,2.504625845,3.616878164,1.755260001
40,0.4,8,0.2,0.957775811,2.505072726,3.616464964,1.756291906
22,0.4,8,0.2,0.958887238,2.504845599,3.617451764,1.756325342
31,0.4,8,0.2,0.958162435,2.504857372,3.616925096,1.756341651
4,0.3,20,0.2,1.437682694,3.335189177,3.174538931,1.873563026
4,0.2,20,0.2,1.330705016,3.033989562,4.013328876,2.075300757
4,0.2,8,0.4,1.647873251,1.600143603,2.603008783,2.111862893
4,0.6,8,0.4,1.692222659,2.417181818,2.711273277,2.256912494
4,0.6,32,0.2,1.744969099,2.028451873,2.957409363,2.264822103
4,0.7,8,0.4,1.641703183,2.617815329,2.528896811,2.295309703
4,0.5,8,0.4,1.696791326,2.17337582,2.941999545,2.445470569
4,0.3,32,0.2,1.931138768,4.150988442,3.243673917,2.495081222
4,0.7,32,0.2,2.908134755,27.98424678,2.366303698,2.551873623
4,0.4,8,0.4,1.697564655,1.882308414,3.056976063,2.57005682
4,0.3,8,0.4,1.717745531,1.718002018,2.991158843,2.591632044
13,0.2,8,0.4,1.760184296,1.34021686,3.115354846,2.653454865
31,0.2,8,0.4,1.75776571,1.339276533,3.115714271,2.654733048
22,0.2,8,0.4,1.758726528,1.339189108,3.117137643,2.654778926
40,0.2,8,0.4,1.757636252,1.338936943,3.11779475,2.654917664
4,0.2,32,0.2,1.595965509,3.176024369,4.316416623,2.964181999
4,0.2,8,0.6,2.234928048,1.047992116,1.967134783,2.9808538
13,0.2,20,0.2,1.492464544,3.212190206,5.3334031,3.018292448
22,0.2,20,0.2,1.464928999,3.222257049,5.404397846,3.083754276
31,0.2,20,0.2,1.46555157,3.223261197,5.410904269,3.085880756
40,0.2,20,0.2,1.46529763,3.222965105,5.407557693,3.086065605
13,0.3,8,0.4,1.801727186,1.388364893,3.814662319,3.444951719
22,0.3,8,0.4,1.799482683,1.38750433,3.816772665,3.446809776
31,0.3,8,0.4,1.798198858,1.387306141,3.816940799,3.446926249
40,0.3,8,0.4,1.797592522,1.386946134,3.816968338,3.447080292
13,0.3,20,0.2,1.279130942,2.915681625,5.658507001,3.575878729
13,0.4,8,0.4,1.661322568,1.409218794,4.184830844,3.653502884
22,0.4,8,0.4,1.65816126,1.40890806,4.186812654,3.655702539
40,0.4,8,0.4,1.655506037,1.40859983,4.18669271,3.655796109
31,0.4,8,0.4,1.656449217,1.408713834,4.186949849,3.655877383
4,0.2,8,0.8,2.655250025,0.883458205,1.577978259,3.670802349
13,0.6,8,0.4,1.251126418,1.411662057,4.316760418,3.680040646
22,0.3,20,0.2,1.224729715,2.926278345,5.761212584,3.68092546
22,0.6,8,0.4,1.245240001,1.408255947,4.317739374,3.683301224
31,0.6,8,0.4,1.242969451,1.408083512,4.317380597,3.683384415
40,0.6,8,0.4,1.241805078,1.407977272,4.316951496,3.683419575
31,0.3,20,0.2,1.225109931,2.927123724,5.765953208,3.684152114
40,0.3,20,0.2,1.224722728,2.927158668,5.766224605,3.684591911
4,0.5,20,0.4,2.77975632,3.216047144,3.486158669,3.761176133
4,0.6,8,0.6,2.32621435,2.061913382,3.280915674,3.773213205
31,0.5,8,0.4,1.449025957,1.435130293,4.397710006,3.78087911
13,0.5,8,0.4,1.455312701,1.436214915,4.394422121,3.783367402
4,0.3,8,0.6,2.471047949,1.255163186,2.80202819,3.785542359
40,0.5,8,0.4,1.447983883,1.434971759,4.395620725,3.792975277
13,0.2,8,0.6,2.345075068,0.720178053,2.429505989,3.799612448
31,0.2,8,0.6,2.341465077,0.719783272,2.430167779,3.801570828
22,0.2,8,0.6,2.342823125,0.71967082,2.431121285,3.801863567
40,0.2,8,0.6,2.340717853,0.719678342,2.431538868,3.801990167
4,0.4,8,0.6,2.45380521,1.464763162,3.200905847,3.804920398
22,0.5,8,0.4,1.451140727,1.435221884,4.396106104,3.805776517
13,0.7,8,0.4,1.059399855,1.42251149,4.131821625,3.824423971
22,0.7,8,0.4,1.050477943,1.412508892,4.130360567,3.832061554
40,0.7,8,0.4,1.04695285,1.412191902,4.12893003,3.83208174
31,0.7,8,0.4,1.048162574,1.412308543,4.129397621,3.832088101
13,0.7,20,0.2,1.038613599,2.575398551,5.232326586,3.833272289
4,0.5,8,0.6,2.382943311,1.742999469,3.330691875,3.848156684
4,0.7,8,0.6,2.254599814,2.363828163,3.179833613,3.848359789
13,0.4,20,0.2,1.139020578,2.513201918,5.698784522,4.000654595
4,0.5,20,0.2,2.088506269,12.6938783,3.367372965,4.046424793
4,0.2,8,1,2.925583794,0.86476954,1.327740509,4.077290937
22,0.4,20,0.2,1.055606454,2.494125861,5.839583884,4.145125775
31,0.4,20,0.2,1.055675807,2.49455318,5.845186026,4.149288443
40,0.4,20,0.2,1.05511626,2.494605582,5.845405568,4.149870872
22,0.7,20,0.2,0.810115431,2.030783161,5.641216538,4.173293829
31,0.7,20,0.2,0.804744087,2.010925501,5.656803418,4.184976259
4,0.4,20,0.4,2.636591607,3.1137747,3.996287457,4.185147027
13,0.6,20,0.2,1.009083144,2.254547488,5.652280263,4.188809804
40,0.7,20,0.2,0.800327204,1.995965659,5.665235255,4.191507011
13,0.5,20,0.2,1.052220508,2.226874662,5.658310358,4.234645575
13,0.2,32,0.2,1.595249491,3.004133823,6.142829302,4.384341025
22,0.6,20,0.2,0.877997762,2.073434785,5.849052983,4.386156218
22,0.5,20,0.2,0.952581158,2.191777628,5.817331305,4.39870656
31,0.6,20,0.2,0.871076048,2.047350417,5.869338323,4.400592712
40,0.6,20,0.2,0.869848884,2.045539072,5.870451868,4.401896345
31,0.5,20,0.2,0.9509618,2.186926553,5.82589835,4.405224402
40,0.5,20,0.2,0.950269523,2.186941461,5.826229877,4.405891812
4,0.2,20,0.4,2.532666046,2.549320979,4.997494915,4.517130402
4,0.3,20,0.4,2.393009781,2.800237478,4.965806969,4.636814103
13,0.2,8,0.8,2.746695066,0.594227395,1.944415225,4.75254366
22,0.2,8,0.8,2.742904726,0.594058897,1.945839739,4.754499747
40,0.2,8,0.8,2.741079176,0.594654526,1.945509558,4.754967894
31,0.2,8,0.8,2.741576586,0.594399895,1.944337262,4.755746467
22,0.2,32,0.2,1.465686933,3.039361578,6.539871582,4.777557485
4,0.7,8,1,3.300979733,1.735811505,3.916781758,4.779392445
31,0.2,32,0.2,1.460904148,3.040834822,6.552939048,4.784315403
40,0.2,32,0.2,1.461164471,3.039527659,6.548764471,4.787281376
4,0.5,32,0.4,3.543270565,3.638053426,4.488207824,4.848036573
4,0.3,8,0.8,3.118798134,0.914877128,2.454852947,4.861685379
4,0.4,20,0.2,1.83331735,10.52746162,4.450331159,4.865063533
4,0.4,8,0.8,3.183407467,1.14992089,3.106453373,4.91353745
4,0.7,32,0.4,3.166930469,1.632713674,4.856522647,5.060421441
13,0.3,8,0.6,2.535091491,0.72717733,3.738202898,5.09376655
22,0.3,8,0.6,2.531072067,0.725587357,3.740939497,5.096869533
40,0.3,8,0.6,2.527760238,0.725522295,3.741535042,5.097366394
31,0.3,8,0.6,2.528957135,0.725515241,3.741528716,5.097429905
4,0.5,8,0.8,3.092782866,1.408297722,3.414809339,5.155045622
4,0.6,8,0.8,2.958946392,1.703370943,3.564323264,5.209000563
13,0.3,32,0.2,1.345160252,2.616999047,6.974181566,5.276142838
13,0.7,32,0.2,1.616368497,3.365480644,6.549480574,5.328617625
13,0.2,8,1,2.997333943,0.645504846,1.589308436,5.329684251
31,0.2,8,1,2.991213195,0.646393782,1.589077185,5.332504662
40,0.2,8,1,2.98973961,0.64630038,1.589713051,5.332739866
22,0.2,8,1,2.993176509,0.645687378,1.589727425,5.333120438
4,0.3,8,1,3.630244933,0.761563503,2.144825326,5.407513698
13,0.4,8,0.6,2.370675003,0.784588276,4.524448694,5.521945754
